age,workclass,education,marital,relationship,race,gender,hours
0,5,3,2,1,1,1.0,0
0,7,8,2,1,1,1.0,0
1,7,5,2,1,1,1.0,0
0,7,12,2,1,1,1.0,0
0,7,13,1,0,1,1.0,1
1,7,3,2,0,1,,0
0,7,6,1,0,1,,0
0,7,8,0,0,1,1.0,0
0,7,8,2,1,1,1.0,0
1,6,8,1,0,1,1.0,0
1,7,14,1,0,1,,1
0,7,10,0,0,1,1.0,0
1,7,8,1,0,1,,0
0,3,13,0,0,1,1.0,0
0,7,5,1,0,1,1.0,0
0,4,10,1,0,1,1.0,0
1,7,1,2,1,1,1.0,1
1,7,10,2,1,1,1.0,1
0,7,8,2,1,1,1.0,0
0,7,10,2,1,1,0.0,0
0,7,6,0,0,1,,0
0,7,8,0,0,0,1.0,0
1,7,10,2,1,1,1.0,1
0,7,9,0,0,1,1.0,0
0,4,9,2,1,1,1.0,0
1,6,9,2,1,0,1.0,0
1,4,9,1,0,1,0.0,1
0,3,10,2,1,1,1.0,0
1,5,12,2,1,1,1.0,0
0,7,8,2,1,1,,0
1,7,9,1,0,1,,0
0,2,12,0,0,0,,1
1,3,9,2,1,1,1.0,0
1,7,7,2,0,1,1.0,0
0,7,6,0,0,0,1.0,0
0,7,9,0,0,1,1.0,0
1,3,8,2,1,1,1.0,0
0,4,13,0,0,1,1.0,0
0,7,9,2,1,1,1.0,0
0,7,8,1,0,0,,0
1,7,6,2,1,1,1.0,1
0,4,8,0,0,0,,0
0,7,9,0,0,1,1.0,0
1,7,8,2,1,1,1.0,1
1,7,9,1,0,1,0.0,0
0,7,10,0,0,1,1.0,1
1,3,8,2,1,1,1.0,0
0,7,9,2,1,1,1.0,0
0,7,6,0,0,1,,0
0,7,9,0,0,0,1.0,0
0,7,8,2,1,1,1.0,0
1,6,9,1,0,1,,0
0,6,10,1,0,1,1.0,1
0,7,8,0,0,1,1.0,0
0,2,8,0,0,0,1.0,0
0,7,9,0,0,1,,1
0,7,8,0,0,1,1.0,0
1,7,9,2,1,1,1.0,0
0,5,8,2,1,1,1.0,1
1,7,12,1,0,1,,0
0,7,14,2,1,1,1.0,0
0,6,10,2,1,1,1.0,1
0,5,11,2,1,1,0.0,1
1,3,14,0,0,1,1.0,0
1,7,2,2,1,0,1.0,0
1,7,2,2,1,1,1.0,0
0,7,12,2,1,1,1.0,0
0,7,9,0,0,1,,1
1,7,8,2,1,1,1.0,0
0,7,8,0,0,1,1.0,0
0,7,8,0,0,1,1.0,1
1,7,10,2,1,1,1.0,0
1,7,10,0,0,1,,0
0,7,10,0,0,1,1.0,1
0,7,9,0,0,1,1.0,1
0,5,10,0,0,0,,0
1,6,8,2,1,1,1.0,0
1,7,10,2,1,1,1.0,1
1,7,8,2,1,1,1.0,0
0,7,10,0,0,0,1.0,0
1,7,8,1,0,1,,0
0,7,8,0,0,1,,0
0,7,12,1,0,1,,0
0,7,8,2,1,1,,0
0,7,8,1,0,0,,0
0,7,8,0,0,1,1.0,0
0,7,8,0,0,1,,0
0,4,8,1,0,1,,0
0,7,8,2,0,1,,1
0,7,9,2,1,1,1.0,1
0,7,8,2,1,1,1.0,1
1,7,10,0,0,1,1.0,1
0,7,9,2,1,1,1.0,1
1,7,8,2,1,1,1.0,0
0,3,10,2,1,1,1.0,0
1,7,14,2,1,0,1.0,1
0,7,8,2,1,1,1.0,1
0,7,12,2,1,1,1.0,0
1,7,6,2,1,1,1.0,0
0,3,9,0,0,1,1.0,0
0,7,10,0,0,0,,0
0,7,10,1,0,0,,1
0,2,14,0,0,1,1.0,0
1,7,14,2,1,1,1.0,1
0,7,11,1,0,1,1.0,0
0,7,9,0,0,1,,0
0,7,6,0,0,1,1.0,0
0,7,6,1,0,0,,0
1,7,8,1,0,0,,0
0,3,10,0,0,1,1.0,1
0,7,9,2,1,1,1.0,1
0,7,9,0,0,1,,1
0,7,8,0,0,1,1.0,0
0,3,13,2,1,0,1.0,0
0,3,8,1,0,0,1.0,0
0,7,9,1,0,1,,0
0,7,9,2,1,1,1.0,1
0,3,9,2,1,1,1.0,1
0,7,14,1,0,1,0.0,0
0,7,10,0,0,1,,0
0,7,6,2,1,1,1.0,0
0,7,12,0,0,0,1.0,0
1,7,8,2,1,1,1.0,0
0,7,9,0,0,1,1.0,1
1,7,5,2,1,0,1.0,1
0,7,8,2,1,1,1.0,0
1,3,12,2,1,1,1.0,0
0,7,10,0,0,1,1.0,0
0,5,8,2,1,1,,1
0,7,12,0,0,0,0.0,1
1,7,13,2,1,1,1.0,1
0,7,10,0,0,1,1.0,0
1,7,9,1,0,1,,0
1,6,14,2,1,1,1.0,0
0,7,9,1,0,1,,0
0,4,10,0,0,0,1.0,0
0,7,8,1,0,1,,0
0,7,6,2,1,1,1.0,1
0,7,4,0,0,0,1.0,0
0,7,8,1,0,0,,0
0,7,10,2,1,1,0.0,1
1,7,8,1,0,1,,0
0,7,9,2,1,1,1.0,0
0,6,10,1,0,1,,0
0,7,9,1,0,1,1.0,0
1,6,8,2,1,1,1.0,1
0,7,10,2,0,1,1.0,1
0,7,7,0,0,1,1.0,0
0,7,6,0,0,1,1.0,0
0,5,14,0,0,1,1.0,0
1,5,10,2,1,1,1.0,0
1,3,8,2,1,1,0.0,0
0,7,9,2,1,0,1.0,0
0,7,10,2,1,1,1.0,0
1,7,14,1,0,1,,0
0,7,8,2,1,1,1.0,1
0,7,11,2,1,1,1.0,1
0,7,9,0,0,1,1.0,0
0,7,8,2,1,1,1.0,1
0,7,8,2,1,1,1.0,0
1,7,8,2,1,1,1.0,1
0,7,13,0,0,1,1.0,0
0,7,10,1,0,1,1.0,1
0,7,10,2,1,1,1.0,1
0,7,12,1,0,1,,0
0,7,8,1,0,1,,0
0,7,5,1,0,0,,0
0,4,8,0,0,1,,1
1,7,8,2,1,1,1.0,0
0,7,12,0,0,0,,1
0,7,8,2,1,1,1.0,1
1,7,10,1,0,1,1.0,1
0,7,8,0,0,0,,0
1,6,8,2,1,0,1.0,0
0,4,10,0,0,1,1.0,0
0,7,9,0,0,1,1.0,0
1,7,6,2,1,1,1.0,0
1,7,2,1,0,1,1.0,0
0,7,10,0,0,1,,0
0,7,9,2,1,1,1.0,0
1,7,4,2,1,0,1.0,1
0,7,13,1,0,1,1.0,1
0,7,8,0,0,1,,0
0,7,5,0,0,1,1.0,0
1,7,9,2,1,1,1.0,1
0,7,9,0,0,1,,0
0,4,8,0,0,1,,0
0,6,8,0,0,1,1.0,1
0,7,8,2,1,1,,0
1,7,8,2,1,0,1.0,0
0,7,2,2,1,1,1.0,0
0,7,8,0,0,1,1.0,0
0,7,10,2,1,1,1.0,1
1,6,8,1,0,1,1.0,1
1,7,12,2,1,1,1.0,1
0,6,9,2,1,1,1.0,0
0,7,8,2,1,0,1.0,0
0,7,8,0,0,1,1.0,0
1,7,8,2,1,1,1.0,0
0,7,9,0,0,0,1.0,0
0,4,10,2,1,1,1.0,0
0,7,8,0,0,1,,0
1,6,8,2,1,1,1.0,0
0,7,8,2,1,1,,0
0,7,6,2,1,1,,0
0,7,14,1,0,1,,0
0,7,10,2,1,1,1.0,0
0,7,3,1,0,1,,0
1,7,9,2,1,0,1.0,1
0,7,6,2,1,1,1.0,1
0,7,8,0,0,1,,1
1,7,8,1,0,1,,0
0,6,9,2,1,1,1.0,1
0,7,14,0,0,1,,0
1,7,14,2,1,1,1.0,1
1,7,10,0,0,1,1.0,1
0,7,9,1,0,1,,0
0,5,14,2,1,1,1.0,1
0,7,9,2,0,1,1.0,0
0,2,5,0,0,1,1.0,0
1,4,10,1,0,1,1.0,0
0,7,10,1,0,1,0.0,1
0,5,9,2,1,1,1.0,0
0,7,10,2,1,1,1.0,0
0,7,8,2,1,1,1.0,0
0,7,8,2,1,1,1.0,1
0,7,8,2,1,0,1.0,0
0,7,6,1,0,1,,0
0,4,10,0,0,1,,0
1,7,8,2,1,0,1.0,0
0,7,10,2,1,1,1.0,1
0,7,8,0,0,1,1.0,1
1,7,10,2,1,1,1.0,0
1,7,8,1,0,1,0.0,0
0,7,9,0,0,1,1.0,0
1,7,6,2,1,1,1.0,0
0,7,14,0,0,1,0.0,1
0,7,6,0,0,0,1.0,0
1,7,8,2,1,1,1.0,0
0,6,10,1,0,1,1.0,0
0,7,8,2,1,1,1.0,1
1,6,8,2,1,1,1.0,1
0,7,3,2,1,1,1.0,0
0,7,13,0,0,0,,0
1,7,8,1,0,1,,0
0,3,10,0,0,1,,1
0,7,10,0,0,0,1.0,1
0,7,8,2,1,1,1.0,0
0,7,10,2,1,0,,0
0,7,8,2,1,1,0.0,0
0,7,10,0,0,1,1.0,0
1,7,3,2,1,1,1.0,0
1,4,9,0,0,0,,0
0,7,8,1,0,1,1.0,0
0,7,8,1,0,1,,0
0,7,9,0,0,1,,1
0,7,8,2,1,1,1.0,0
0,7,11,2,1,1,0.0,1
1,7,8,2,1,0,1.0,0
1,7,4,2,1,1,1.0,1
1,7,8,2,1,0,1.0,0
0,7,6,0,0,1,,0
0,7,8,1,0,0,,0
0,7,3,0,0,1,1.0,1
0,5,8,2,1,1,1.0,0
1,7,9,2,1,1,1.0,0
1,7,8,1,0,1,1.0,1
0,7,5,0,0,1,1.0,0
1,7,8,2,1,1,1.0,0
0,7,12,2,1,1,1.0,1
0,7,10,2,1,0,1.0,0
1,7,9,2,1,1,1.0,0
0,7,8,1,0,1,1.0,0
0,7,10,2,1,1,1.0,1
1,7,3,2,1,1,1.0,1
0,6,8,2,1,1,1.0,1
1,3,8,2,1,1,1.0,0
0,7,8,0,0,1,1.0,0
0,7,13,2,1,1,1.0,0
1,7,9,2,1,1,1.0,0
0,7,11,2,1,1,1.0,1
1,7,6,2,1,1,1.0,0
0,7,6,0,0,1,,0
0,7,9,0,0,1,1.0,0
0,7,8,0,0,1,1.0,0
0,4,12,2,1,1,1.0,0
0,7,12,2,1,1,,1
0,7,2,0,0,0,,0
0,7,10,0,0,1,,0
0,7,10,2,1,1,1.0,0
0,7,8,0,0,1,1.0,0
0,7,8,2,1,1,1.0,1
0,6,4,2,1,1,1.0,0
0,7,8,0,0,1,,0
0,2,9,2,1,1,0.0,0
0,7,8,2,1,1,1.0,0
1,7,9,2,1,1,1.0,0
1,7,15,2,1,0,1.0,0
0,7,10,0,0,1,,0
1,7,10,1,0,1,0.0,1
0,7,9,2,1,1,1.0,1
0,7,1,2,1,1,1.0,0
0,7,9,2,1,1,1.0,0
0,7,10,0,0,1,,0
0,7,8,0,0,1,,0
1,5,6,1,0,1,1.0,0
0,7,9,0,0,1,,0
0,7,5,0,0,1,,0
0,5,13,2,1,0,1.0,1
1,3,10,2,1,1,1.0,0
0,7,8,0,0,1,1.0,0
0,7,10,2,1,1,1.0,1
1,2,8,0,0,1,,0
1,7,8,1,0,1,,0
1,7,14,2,1,1,1.0,1
0,7,9,0,0,1,,0
0,6,9,2,1,1,1.0,1
1,7,8,2,1,1,1.0,0
0,3,10,1,0,1,,1
0,7,9,0,0,0,,0
1,7,14,1,0,1,0.0,1
0,7,8,0,0,1,1.0,0
0,7,8,2,1,1,1.0,1
0,3,10,1,0,0,,0
0,7,9,1,0,1,1.0,0
0,3,10,2,1,1,1.0,0
1,7,6,2,1,1,1.0,1
0,7,7,1,0,1,,0
1,7,10,1,0,1,1.0,0
1,7,9,2,1,1,1.0,0
0,7,8,2,1,1,1.0,1
0,7,7,0,0,1,,0
1,7,9,2,0,0,1.0,0
0,7,8,2,1,1,1.0,1
0,7,8,0,0,1,,0
0,7,1,2,0,1,1.0,0
0,7,6,0,0,0,,0
0,7,13,0,0,1,1.0,1
1,3,9,2,1,1,1.0,0
0,7,6,0,0,1,1.0,0
0,7,8,0,0,1,1.0,1
0,7,8,2,1,1,1.0,0
0,6,9,2,1,1,1.0,0
1,7,14,2,1,1,1.0,1
0,6,10,2,1,1,1.0,1
0,7,7,0,0,1,,0
0,7,3,0,0,1,1.0,0
1,7,13,1,0,1,,0
1,7,10,2,1,1,1.0,1
0,7,8,1,0,1,,0
0,7,8,1,0,1,1.0,1
0,6,8,2,1,1,1.0,1
0,7,8,1,0,1,1.0,0
1,7,8,1,0,1,,0
0,6,13,2,1,1,1.0,1
1,7,13,2,1,1,1.0,1
0,7,6,2,1,0,1.0,0
1,7,8,2,1,1,1.0,1
0,7,8,0,0,1,1.0,0
1,4,9,2,1,1,1.0,0
1,7,8,0,0,0,1.0,0
0,7,8,1,0,1,,0
1,5,14,2,1,1,1.0,0
1,5,14,2,1,1,1.0,1
1,7,4,2,0,0,,0
0,7,9,2,1,1,1.0,0
0,7,3,2,1,1,,0
0,7,9,2,1,1,1.0,1
0,7,14,0,0,1,,1
1,7,2,0,0,1,1.0,0
0,7,8,0,0,1,,0
0,7,14,2,1,1,1.0,1
0,4,10,0,0,1,1.0,0
0,7,8,2,1,1,1.0,1
1,7,9,1,0,1,,1
0,7,10,0,0,0,0.0,0
0,7,4,0,0,0,1.0,0
0,7,9,0,0,1,1.0,0
0,2,14,1,0,1,,0
0,6,10,2,1,1,0.0,0
1,7,9,2,1,1,1.0,1
0,3,9,2,1,1,1.0,0
1,3,9,1,0,1,,0
0,3,10,2,1,1,1.0,0
0,7,10,2,1,1,1.0,1
1,2,14,0,0,1,1.0,0
0,7,13,0,0,0,,0
1,7,10,0,0,1,1.0,0
0,7,9,0,0,1,1.0,1
1,3,8,2,1,1,1.0,0
0,7,10,0,0,1,,0
0,7,13,0,0,1,1.0,1
0,7,14,2,1,1,1.0,0
0,7,8,0,0,1,1.0,0
1,2,10,2,1,1,1.0,0
0,7,13,2,1,1,1.0,1
0,7,9,0,0,1,,0
1,4,9,2,1,0,1.0,0
0,7,8,0,0,1,,0
1,5,15,1,0,1,1.0,1
0,7,9,2,1,1,0.0,0
0,7,9,2,1,1,1.0,1
0,7,10,0,0,1,1.0,0
0,7,8,1,0,1,,1
1,7,8,1,0,1,,0
0,2,9,2,1,1,,1
0,7,6,0,0,1,,0
0,7,10,0,0,1,1.0,1
0,7,10,2,1,1,1.0,0
1,7,9,2,1,1,1.0,0
1,7,8,1,0,1,1.0,0
0,7,12,0,0,1,,0
0,3,10,0,0,1,1.0,0
0,3,10,2,1,0,0.0,0
1,7,8,1,0,1,,1
0,7,9,2,1,1,0.0,0
1,7,7,2,1,1,1.0,0
1,7,9,2,1,1,1.0,0
0,7,13,0,0,1,,0
0,6,8,2,1,1,1.0,0
0,7,2,1,0,0,,0
0,7,10,2,1,0,1.0,1
0,6,8,2,1,1,1.0,0
0,3,9,2,1,1,1.0,0
1,6,8,2,1,0,,1
0,7,10,0,0,1,0.0,1
0,7,8,0,0,1,1.0,0
0,7,9,1,0,1,,0
0,7,10,1,0,0,1.0,1
0,6,10,0,0,1,,0
0,7,10,0,0,1,1.0,1
0,7,9,1,0,1,,1
0,7,9,0,0,1,1.0,0
0,7,9,2,1,1,1.0,0
1,7,8,1,0,1,1.0,0
0,7,8,2,1,1,1.0,0
0,7,8,0,0,1,,0
0,7,10,2,1,1,1.0,0
0,7,9,2,1,1,1.0,0
0,7,8,2,1,0,1.0,0
0,7,4,1,0,1,,1
0,7,8,0,0,1,1.0,1
1,7,8,2,1,1,1.0,0
0,7,6,2,1,1,1.0,1
1,6,9,2,1,1,1.0,0
1,7,8,1,0,0,1.0,1
0,7,9,2,1,1,1.0,1
0,7,11,2,1,1,1.0,1
0,7,10,2,1,1,1.0,0
1,7,8,2,1,1,0.0,0
0,7,5,0,0,0,1.0,0
0,2,13,2,1,1,1.0,0
0,4,8,2,1,1,1.0,1
0,7,9,2,1,1,1.0,1
0,5,10,2,1,1,1.0,0
0,5,9,2,1,1,1.0,1
0,7,6,0,0,1,,1
0,7,10,0,0,1,,0
0,7,8,0,0,1,1.0,0
1,7,14,2,1,1,1.0,1
1,4,9,2,1,1,1.0,1
0,7,10,0,0,1,,0
0,7,8,0,0,1,,0
1,7,8,1,0,1,1.0,0
0,7,8,2,1,1,1.0,1
0,7,9,2,1,1,1.0,0
1,3,14,1,0,1,,1
0,7,8,2,1,1,1.0,0
1,7,2,1,0,1,1.0,0
0,7,9,1,0,1,,1
0,7,9,1,0,1,,1
0,7,8,0,0,0,1.0,0
1,7,8,1,0,0,,1
1,3,8,2,1,1,1.0,1
0,7,13,2,1,1,1.0,1
1,7,10,2,1,1,1.0,1
0,7,10,1,0,1,1.0,0
1,7,9,1,0,1,,0
0,7,9,2,1,0,,1
0,7,9,0,0,1,1.0,1
1,4,12,1,0,1,,0
1,7,10,0,0,1,,0
0,3,10,2,1,1,0.0,0
1,7,8,1,0,1,1.0,1
1,7,10,0,0,1,0.0,1
0,7,10,0,0,1,1.0,0
0,7,10,0,0,1,,0
0,6,8,1,0,1,1.0,0
0,7,8,2,1,1,1.0,0
0,7,8,0,0,1,,0
0,7,2,1,0,1,,0
0,6,8,2,1,1,1.0,1
0,5,9,2,1,0,1.0,0
1,7,8,2,1,1,1.0,0
1,7,8,2,1,1,1.0,0
0,7,13,1,0,1,,0
0,5,8,2,1,1,1.0,0
0,7,10,0,0,1,1.0,0
1,7,8,2,1,1,1.0,0
0,7,9,2,1,1,1.0,0
0,7,15,2,1,1,1.0,1
0,7,8,0,0,1,1.0,0
0,5,8,2,1,1,1.0,0
0,6,10,0,0,0,,1
0,7,8,0,0,1,1.0,1
1,3,14,1,0,1,,0
1,6,8,1,0,1,1.0,0
0,7,6,0,0,1,,0
1,7,14,0,0,1,1.0,1
0,3,14,0,0,1,,1
0,7,8,2,1,1,1.0,1
1,7,9,1,0,1,,1
0,7,9,1,0,1,1.0,0
0,7,8,0,0,1,,0
0,7,13,2,1,1,1.0,0
1,5,5,2,1,1,1.0,0
1,7,8,0,0,1,,1
0,7,8,0,0,1,1.0,1
0,7,8,1,0,1,,0
0,7,8,0,0,1,1.0,0
0,7,9,0,0,1,,0
1,7,10,2,1,1,1.0,1
0,7,10,1,0,1,1.0,1
0,7,9,0,0,1,,0
0,7,10,2,1,1,1.0,1
0,2,13,2,1,0,1.0,0
1,6,9,2,1,1,1.0,1
1,7,14,2,1,1,1.0,0
0,7,13,2,1,1,1.0,0
1,7,9,2,1,1,1.0,0
0,7,9,2,1,1,1.0,0
1,7,8,1,0,1,,0
0,7,5,0,0,1,,0
0,7,3,1,0,1,1.0,0
0,7,10,0,0,0,,0
1,6,8,2,1,1,1.0,0
0,5,10,2,1,1,1.0,1
0,7,8,0,0,1,1.0,0
0,7,8,1,0,1,1.0,0
0,7,9,2,1,1,1.0,0
0,7,5,0,0,1,1.0,0
0,7,6,1,0,1,,0
0,7,8,2,1,1,1.0,1
0,7,8,2,1,1,1.0,0
0,7,13,2,1,1,1.0,1
0,3,14,2,1,1,,0
0,7,9,0,0,1,1.0,0
0,7,6,0,0,1,1.0,0
0,7,2,2,1,1,1.0,1
0,7,8,2,1,1,1.0,0
0,7,8,1,0,0,,0
0,7,9,0,0,1,,0
0,7,9,2,1,1,1.0,1
0,7,9,2,1,1,1.0,1
1,6,10,2,1,1,1.0,0
0,7,12,0,0,1,,0
0,6,10,0,0,1,1.0,1
0,7,9,0,0,1,,0
0,7,9,0,0,0,1.0,1
1,3,9,2,1,1,1.0,0
1,7,10,1,0,1,,1
0,7,10,0,0,1,0.0,0
0,7,9,1,0,1,1.0,1
1,3,9,1,0,1,,0
0,5,9,2,1,1,1.0,1
0,7,9,0,0,1,1.0,0
0,7,10,2,1,0,1.0,0
1,6,14,1,0,1,1.0,0
0,7,10,2,1,1,1.0,1
0,7,8,1,0,1,,0
0,7,12,2,1,1,1.0,1
1,7,9,1,0,1,,0
1,5,10,2,1,1,1.0,1
0,7,12,1,0,1,,0
1,7,8,2,1,1,1.0,0
0,7,8,0,0,1,,1
0,7,12,0,0,1,1.0,0
1,5,9,2,1,1,1.0,0
1,7,8,2,1,1,,0
0,6,9,2,1,1,,1
0,7,13,1,0,1,,0
1,7,10,2,1,1,1.0,0
0,2,8,2,1,1,1.0,0
0,7,8,2,1,1,1.0,1
0,3,10,0,0,1,,0
0,7,8,2,1,1,1.0,0
0,7,8,0,0,0,,0
0,5,12,2,1,1,1.0,1
1,7,9,2,1,1,1.0,0
1,3,9,0,0,1,,0
0,7,8,2,1,1,1.0,0
0,7,9,0,0,1,1.0,0
0,7,8,0,0,1,1.0,0
1,4,10,0,0,1,,0
1,7,10,0,0,1,1.0,1
0,7,10,2,1,1,1.0,1
0,7,8,2,1,1,1.0,1
1,2,15,0,0,1,0.0,0
0,7,10,2,1,1,1.0,0
0,3,8,0,0,0,1.0,0
1,6,8,1,0,1,,0
1,7,8,1,0,1,1.0,0
0,3,9,2,1,1,1.0,0
0,7,9,1,0,1,1.0,1
1,6,9,2,1,1,1.0,0
1,7,8,2,1,1,1.0,0
0,7,8,2,1,1,1.0,1
0,7,8,0,0,0,1.0,0
1,7,9,1,0,1,,0
0,7,10,0,0,1,1.0,0
1,7,6,2,1,0,1.0,0
1,7,8,2,1,1,1.0,1
1,7,8,1,0,1,,0
0,3,14,0,0,1,,1
0,7,9,1,0,1,1.0,0
0,7,9,1,0,1,1.0,1
0,7,8,0,0,1,,0
0,7,8,0,0,1,1.0,0
0,7,12,0,0,0,1.0,0
0,7,10,0,0,1,1.0,1
0,7,8,1,0,1,1.0,0
0,7,10,2,1,1,1.0,0
0,7,8,1,0,1,,0
1,4,9,1,0,1,,0
1,7,12,1,0,1,1.0,1
1,7,14,2,1,1,1.0,1
0,6,8,2,1,1,1.0,0
1,7,13,1,0,0,,0
0,2,10,2,1,1,1.0,0
0,3,9,1,0,1,,0
0,6,8,1,0,1,1.0,0
0,7,9,1,0,1,,0
0,7,10,2,1,1,1.0,0
1,6,9,2,1,1,1.0,1
0,7,9,2,1,1,1.0,0
0,7,2,2,1,1,,0
0,7,8,2,0,1,,0
0,7,15,2,1,1,1.0,1
0,7,10,1,0,1,1.0,1
0,6,8,2,1,1,1.0,0
1,3,8,1,0,1,1.0,0
0,7,13,2,0,1,,0
0,7,10,2,1,1,1.0,1
0,3,8,0,0,1,1.0,1
0,7,8,0,0,1,1.0,0
1,6,13,2,1,1,1.0,0
0,7,8,1,0,0,,0
0,7,8,2,1,1,1.0,0
0,7,10,0,0,1,1.0,0
1,7,8,1,0,1,,0
0,7,7,2,0,1,1.0,0
0,7,12,0,0,1,,0
0,7,10,0,0,0,1.0,0
1,7,9,2,1,1,1.0,0
0,7,9,0,0,1,1.0,0
0,7,8,2,1,0,,0
0,6,10,0,0,1,1.0,1
0,6,13,2,1,1,1.0,0
0,7,8,0,0,0,1.0,0
0,7,8,2,0,1,,0
0,7,8,0,0,1,,1
1,7,5,2,1,1,1.0,0
0,2,9,1,0,0,,0
0,7,4,1,0,1,1.0,0
0,7,13,2,1,1,1.0,1
1,7,10,2,1,1,1.0,1
0,7,13,0,0,0,,0
0,7,9,0,0,1,1.0,0
0,7,8,2,1,1,1.0,0
0,7,8,0,0,1,1.0,0
1,7,8,1,0,1,,0
0,7,9,2,1,1,1.0,0
0,7,2,2,1,1,1.0,0
1,3,14,1,0,1,0.0,1
1,7,7,2,1,1,,0
0,3,10,0,0,1,,0
0,3,8,0,0,1,1.0,0
1,7,5,1,0,0,,0
0,6,8,1,0,1,,1
1,4,10,2,0,1,,0
1,7,9,1,0,1,,0
0,7,8,2,1,1,1.0,0
0,7,9,0,0,1,1.0,0
1,7,9,2,1,1,1.0,1
0,7,10,0,0,0,,0
0,6,10,1,0,1,1.0,0
0,7,8,0,0,1,1.0,1
0,7,10,2,1,1,1.0,1
0,7,10,2,1,0,1.0,0
0,7,10,0,0,1,1.0,0
0,7,8,1,0,1,,0
1,7,4,1,0,0,1.0,0
0,4,8,2,1,1,1.0,0
0,7,8,1,0,0,,0
1,7,8,1,0,1,,0
0,7,4,2,1,1,1.0,1
1,7,9,2,1,1,1.0,0
0,7,7,0,0,1,,0
0,7,10,2,1,1,0.0,1
1,7,12,1,0,1,1.0,0
0,2,14,2,1,1,1.0,0
1,7,8,2,1,1,1.0,0
0,4,12,2,1,0,,0
0,7,13,0,0,0,1.0,1
0,7,4,2,1,0,1.0,0
0,7,9,0,0,1,,0
1,7,8,0,0,0,,0
1,7,8,1,0,1,1.0,1
0,7,4,0,0,1,1.0,0
1,7,8,2,1,1,1.0,0
0,7,8,1,0,1,1.0,1
0,6,8,0,0,1,1.0,1
0,7,2,0,0,0,1.0,0
0,7,10,2,1,1,1.0,1
0,7,6,2,1,1,1.0,1
1,7,15,1,0,1,,0
0,7,4,2,1,1,1.0,1
1,7,10,2,1,1,1.0,0
1,7,8,1,0,1,1.0,0
0,7,7,0,0,1,1.0,1
0,7,8,0,0,1,1.0,0
0,7,8,2,1,1,1.0,0
0,7,14,2,1,0,,1
0,7,9,0,0,1,1.0,0
1,6,9,2,1,1,1.0,0
0,7,9,0,0,0,,0
1,7,8,1,0,1,1.0,0
0,7,9,0,0,1,1.0,0
0,3,10,2,1,1,1.0,0
1,3,10,2,1,1,1.0,1
0,7,8,2,1,1,1.0,0
0,7,8,2,1,1,1.0,0
1,7,9,2,1,1,1.0,0
0,7,8,1,0,1,1.0,0
1,7,14,2,1,1,1.0,0
0,7,12,1,0,1,,0
1,7,5,2,1,1,1.0,1
0,7,10,2,1,1,0.0,0
0,3,12,0,0,1,1.0,0
0,7,9,2,1,1,0.0,0
0,7,8,0,0,0,1.0,0
0,7,8,0,0,1,,0
1,6,8,2,1,1,,1
1,7,8,1,0,1,,0
1,5,8,2,1,1,1.0,0
0,7,10,2,1,1,1.0,0
0,7,14,0,0,1,1.0,1
0,7,8,2,1,1,0.0,0
0,7,8,1,0,1,,1
0,7,6,0,0,1,1.0,0
1,7,14,2,1,1,1.0,0
1,3,8,1,0,1,,0
0,7,9,0,0,1,,1
0,7,10,2,1,1,1.0,1
0,3,8,0,0,1,1.0,0
